"cve","age","cwe_id","cvss_elements_impact_score","cvss_elements_exploitability_score","n_references","description"
"CVE-2023-46059",-127,"NVD-CW-noinfo",-99.0,-99.0,1,"Cross Site Scripting (XSS) vulnerability in Geeklog-Core geeklog v.2.2.2 allows a remote attacker to execute arbitrary code via a crafted payload to the Service, and website URL to Ping parameters of the admin/trackback.php component."
"CVE-2023-46058",-127,"NVD-CW-noinfo",-99.0,-99.0,1,"Cross Site Scripting (XSS) vulnerability in Geeklog-Core geeklog v.2.2.2 allows a remote attacker to execute arbitrary code via a crafted payload to the grp_desc parameter of the admin/group.php component."
"CVE-2023-33517",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"carRental 1.0 is vulnerable to Incorrect Access Control (Arbitrary File Read on the Back-end System)."
"CVE-2023-5633",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"The reference count changes made as part of the CVE-2023-33951 and CVE-2023-33952 fixes exposed a use-after-free flaw in the way memory objects were handled when they were being used to store a surface. When running inside a VMware guest with 3D acceleration enabled, a local, unprivileged user could potentially use this flaw to escalate their privileges."
"CVE-2023-45998",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"kodbox 1.44 is vulnerable to Cross Site Scripting (XSS). Customizing global HTML results in storing XSS."
"CVE-2023-44760",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"Multiple Cross Site Scripting (XSS) vulnerabilities in Concrete CMS v.9.2.1 allow an attacker to execute arbitrary code via a crafted script to the Header and Footer Tracking Codes of the SEO & Statistics."
"CVE-2023-43358",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"Cross Site Scripting vulnerability in CMSmadesimple v.2.2.18 allows a local attacker to execute arbitrary code via a crafted script to the Title parameter in the News Menu component."
"CVE-2023-45966",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"umputun remark42 version 1.12.1 and before has a Blind Server-Side Request Forgery (SSRF) vulnerability."
"CVE-2023-37636",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"A stored cross-site scripting (XSS) vulnerability in UVDesk Community Skeleton v1.1.1 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Message field when creating a ticket."
"CVE-2023-37635",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"UVDesk Community Skeleton v1.1.1 allows unauthenticated attackers to perform brute force attacks on the login page to gain access to the application."
"CVE-2023-27152",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"DECISO OPNsense 23.1 does not impose rate limits for authentication, allowing attackers to perform a brute-force attack to bypass authentication."
"CVE-2023-46603",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"In International Color Consortium DemoIccMAX 79ecb74, there is an out-of-bounds read in the CIccPRMG::GetChroma function in IccProfLib/IccPrmg.cpp in libSampleICC.a."
"CVE-2023-46602",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"In International Color Consortium DemoIccMAX 79ecb74, there is a stack-based buffer overflow in the icFixXml function in IccXML/IccLibXML/IccUtilXml.cpp in libIccXML.a."
"CVE-2023-33840",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"IBM Security Verify Governance 10.0 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.  IBM X-Force ID:  256037."
"CVE-2023-33839",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"IBM Security Verify Governance 10.0 could allow a remote authenticated attacker to execute arbitrary commands on the system by sending a specially crafted request.  IBM X-Force ID:  256036."
"CVE-2023-33837",-126,"NVD-CW-noinfo",-99.0,-99.0,2,"IBM Security Verify Governance 10.0 does not encrypt sensitive or critical information before storage or transmission.  IBM X-Force ID:  256020."
"CVE-2023-27149",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"A stored cross-site scripting (XSS) vulnerability in Enhancesoft osTicket v1.17.2 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Label input parameter when updating a custom list."
"CVE-2023-27148",-126,"NVD-CW-noinfo",-99.0,-99.0,1,"A stored cross-site scripting (XSS) vulnerability in the Admin panel in Enhancesoft osTicket v1.17.2 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Role Name parameter."
